Rk,I,Player,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
74,,Sergio Romo,Total,2014,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
75,,David Huff,Last 365days,2014,8,0,1,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,1.000,100,468
Rk,I,Player,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
76,,Sergio Romo,Last 28 days,2014,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
77,,Juan Perez,Total,2014,8,1,9,8,1,0,0,0,0,0,0,1,0,3,.000,.000,.000,.000,0,1,0,1,0,0,0,.000,,-100
78,,Jean Machi,Last 14 days,2014,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
79,,Mike Morse,Last 7 days,2014,6,5,19,18,1,2,0,0,1,1,0,0,1,6,.111,.158,.278,.436,5,2,0,0,0,0,0,.091,5,25
80,,Yusmeiro Petit,Last 14 days,2014,6,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
81,,Hunter Pence,Last 7 days,2014,6,6,24,19,2,4,1,0,0,0,2,0,5,4,.211,.375,.263,.638,5,0,0,0,0,1,1,.267,112,89
82,,Sergio Romo,Last 14 days,2014,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
83,,J.C. Gutierrez,Last 14 days,2014,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
84,,Gregor Blanco,Last 7 days,2014,6,2,12,10,0,0,0,0,0,0,0,0,2,2,.000,.167,.000,.167,0,0,0,0,0,0,1,.000,-25,-47
85,,Buster Posey,Last 7 days,2014,6,5,21,19,1,2,0,0,1,3,0,0,2,3,.105,.190,.263,.454,5,1,0,0,0,0,0,.067,23,31
86,,Angel Pagan,Last 7 days,2014,6,5,21,19,0,5,1,0,0,2,1,0,2,3,.263,.333,.316,.649,6,0,0,0,0,0,0,.313,51,90
87,,Santiago Casilla,Last 14 days,2014,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
88,,Brandon Belt,Last 7 days,2014,6,6,23,22,3,7,0,0,1,1,1,0,1,3,.318,.348,.455,.802,10,1,0,0,0,0,0,.333,88,132
89,,Joaquin Arias,Last 7 days,2014,5,4,13,12,1,2,0,0,0,0,0,0,1,1,.167,.231,.167,.397,2,0,0,0,0,0,0,.182,106,18
90,,Pablo Sandoval,Last 7 days,2014,5,5,19,19,0,3,0,0,0,1,0,0,0,5,.158,.158,.158,.316,3,0,0,0,0,0,1,.214,23,-8
91,,David Huff,Last 14 days,2014,5,0,1,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,1.000,100,474
92,,Javier Lopez,Last 14 days,2014,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
93,,Brandon Crawford,Last 7 days,2014,5,4,14,13,1,1,0,0,0,0,0,0,1,4,.077,.143,.077,.220,1,0,0,0,0,0,0,.111,-42,-34
94,,Ehire Adrianza,Last 7 days,2014,4,1,6,5,0,3,1,0,0,1,0,0,0,1,.600,.600,.800,1.400,4,0,0,1,0,0,0,.750,470,305
95,,Ryan Vogelsong,Total,2014,4,4,7,7,0,1,0,0,0,2,0,0,0,1,.143,.143,.143,.286,1,0,0,0,0,0,0,.167,100,-18
96,,Ryan Vogelsong,Last 28 days,2014,4,4,7,7,0,1,0,0,0,2,0,0,0,1,.143,.143,.143,.286,1,0,0,0,0,0,0,.167,100,-18
97,,Madison Bumgarner,Total,2014,4,4,7,4,2,2,0,0,1,5,0,0,0,1,.500,.400,1.250,1.650,5,0,0,2,1,0,0,.333,100,348
98,,Madison Bumgarner,Last 28 days,2014,4,4,7,4,2,2,0,0,1,5,0,0,0,1,.500,.400,1.250,1.650,5,0,0,2,1,0,0,.333,100,347
99,,Tim Hudson,Total,2014,4,4,11,10,0,1,0,0,0,0,0,0,0,4,.100,.100,.100,.200,1,1,0,1,0,0,0,.167,100,-43
100,,Tim Hudson,Last 28 days,2014,4,4,11,10,0,1,0,0,0,0,0,0,0,4,.100,.100,.100,.200,1,1,0,1,0,0,0,.167,100,-43
Rk,I,Player,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
101,,Brandon Hicks,Last 7 days,2014,4,4,14,12,1,0,0,0,0,0,0,0,2,6,.000,.143,.000,.143,0,1,0,0,0,0,0,.000,-64,-55
102,,Tim Lincecum,Total,2014,4,4,8,3,0,0,0,0,0,0,0,0,2,3,.000,.400,.000,.400,0,0,0,3,0,0,0,,,26
103,,Hector Sanchez,Last 7 days,2014,4,1,7,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,1,0,0,0,0,0,.000,-100,-100
104,,Tim Lincecum,Last 28 days,2014,4,4,8,3,0,0,0,0,0,0,0,0,2,3,.000,.400,.000,.400,0,0,0,3,0,0,0,,,26
105,,Matt Cain,Total,2014,4,4,8,7,0,1,0,0,0,0,0,0,1,3,.143,.250,.143,.393,1,0,0,0,0,0,0,.250,100,16
106,,Matt Cain,Last 28 days,2014,4,4,8,7,0,1,0,0,0,0,0,0,1,3,.143,.250,.143,.393,1,0,0,0,0,0,0,.250,100,16
107,,Tim Hudson,Last 365days,2014,4,4,11,10,0,1,0,0,0,0,0,0,0,4,.100,.100,.100,.200,1,1,0,1,0,0,0,.167,100,-43
108,,Tim Lincecum,Last 14 days,2014,3,3,6,1,0,0,0,0,0,0,0,0,2,1,.000,.667,.000,.667,0,0,0,3,0,0,0,,,111
